ANO	SEM_NOT	Início	Término
2015	20159	2015-03-01	2015-03-07
2015	201510	2015-03-08	2015-03-14
2015	201511	2015-03-15	2015-03-21
2015	201512	2015-03-22	2015-03-28
2015	201513	2015-03-29	2015-04-04
2015	201514	2015-04-05	2015-04-11
2015	201515	2015-04-12	2015-04-18
2015	201516	2015-04-19	2015-04-25
2015	201517	2015-04-26	2015-05-02
2015	201518	2015-05-03	2015-05-09
2015	201519	2015-05-10	2015-05-16
2015	201520	2015-05-17	2015-05-23
2015	201521	2015-05-24	2015-05-30
2015	201522	2015-05-31	2015-06-06
2015	201523	2015-06-07	2015-06-13
2015	201524	2015-06-14	2015-06-20
2015	201525	2015-06-21	2015-06-27
2015	201526	2015-06-28	2015-07-04
2015	201527	2015-07-05	2015-07-11
2015	201528	2015-07-12	2015-07-18
2015	201529	2015-07-19	2015-07-25
2015	201530	2015-07-26	2015-08-01
2015	201531	2015-08-02	2015-08-08
2015	201532	2015-08-09	2015-08-15
2015	201533	2015-08-16	2015-08-22
2015	201534	2015-08-23	2015-08-29
2015	201535	2015-08-30	2015-09-05
2015	201536	2015-09-06	2015-09-12
2015	201537	2015-09-13	2015-09-19
2015	201538	2015-09-20	2015-09-26
2015	201539	2015-09-27	2015-10-03
2015	201540	2015-10-04	2015-10-10
2015	201541	2015-10-11	2015-10-17
2015	201542	2015-10-18	2015-10-24
2015	201543	2015-10-25	2015-10-31
2015	201544	2015-11-01	2015-11-07
2015	201545	2015-11-08	2015-11-14
2015	201546	2015-11-15	2015-11-21
2015	201547	2015-11-22	2015-11-28
2015	201548	2015-11-29	2015-12-05
2015	201549	2015-12-06	2015-12-12
2015	201550	2015-12-13	2015-12-19
2015	201551	2015-12-20	2015-12-26
2015	201552	2015-12-27	2016-01-02
2016	20161	2016-01-03	2016-01-09
2016	20162	2016-01-10	2016-01-16
2016	20163	2016-01-17	2016-01-23
2016	20164	2016-01-24	2016-01-30
2016	20165	2016-01-31	2016-02-06
2016	20166	2016-02-07	2016-02-13
2016	20167	2016-02-14	2016-02-20
2016	20168	2016-02-21	2016-02-27
2016	20169	2016-02-28	2016-03-05
2016	201610	2016-03-06	2016-03-12
2016	201611	2016-03-13	2016-03-19
2016	201612	2016-03-20	2016-03-26
2016	201613	2016-03-27	2016-04-02
2016	201614	2016-04-03	2016-04-09
2016	201615	2016-04-10	2016-04-16
2016	201616	2016-04-17	2016-04-23
2016	201617	2016-04-24	2016-04-30
2016	201618	2016-05-01	2016-05-07
2016	201619	2016-05-08	2016-05-14
2016	201620	2016-05-15	2016-05-21
2016	201621	2016-05-22	2016-05-28
2016	201622	2016-05-29	2016-06-04
2016	201623	2016-06-05	2016-06-11
2016	201624	2016-06-12	2016-06-18
2016	201625	2016-06-19	2016-06-25
2016	201626	2016-06-26	2016-07-02
2016	201627	2016-07-03	2016-07-09
2016	201628	2016-07-10	2016-07-16
2016	201629	2016-07-17	2016-07-23
2016	201630	2016-07-24	2016-07-30
2016	201631	2016-07-31	2016-08-06
2016	201632	2016-08-07	2016-08-13
2016	201633	2016-08-14	2016-08-20
2016	201634	2016-08-21	2016-08-27
2016	201635	2016-08-28	2016-09-03
2016	201636	2016-09-04	2016-09-10
2016	201637	2016-09-11	2016-09-17
2016	201638	2016-09-18	2016-09-24
2016	201639	2016-09-25	2016-10-01
2016	201640	2016-10-02	2016-10-08
2016	201641	2016-10-09	2016-10-15
2016	201642	2016-10-16	2016-10-22
2016	201643	2016-10-23	2016-10-29
2016	201644	2016-10-30	2016-11-05
2016	201645	2016-11-06	2016-11-12
2016	201646	2016-11-13	2016-11-19
2016	201647	2016-11-20	2016-11-26
2016	201648	2016-11-27	2016-12-03
2016	201649	2016-12-04	2016-12-10
2016	201650	2016-12-11	2016-12-17
2016	201651	2016-12-18	2016-12-24
2016	201652	2016-12-25	2016-12-31
2017	20171	2017-01-01	2017-01-07
2017	20172	2017-01-08	2017-01-14
2017	20173	2017-01-15	2017-01-21
2017	20174	2017-01-22	2017-01-28
2017	20175	2017-01-29	2017-02-04
2017	20176	2017-02-05	2017-02-11
2017	20177	2017-02-12	2017-02-18
2017	20178	2017-02-19	2017-02-25
2017	20179	2017-02-26	2017-03-04
2017	201710	2017-03-05	2017-03-11
2017	201711	2017-03-12	2017-03-18
2017	201712	2017-03-19	2017-03-25
2017	201713	2017-03-26	2017-04-01
2017	201714	2017-04-02	2017-04-08
2017	201715	2017-04-09	2017-04-15
2017	201716	2017-04-16	2017-04-22
2017	201717	2017-04-23	2017-04-29
2017	201718	2017-04-30	2017-05-06
2017	201719	2017-05-07	2017-05-13
2017	201720	2017-05-14	2017-05-20
2017	201721	2017-05-21	2017-05-27
2017	201722	2017-05-28	2017-06-03
2017	201723	2017-06-04	2017-06-10
2017	201724	2017-06-11	2017-06-17
2017	201725	2017-06-18	2017-06-24
2017	201726	2017-06-25	2017-07-01
2017	201727	2017-07-02	2017-07-08
2017	201728	2017-07-09	2017-07-15
2017	201729	2017-07-16	2017-07-22
2017	201730	2017-07-23	2017-07-29
2017	201731	2017-07-30	2017-08-05
2017	201732	2017-08-06	2017-08-12
2017	201733	2017-08-13	2017-08-19
2017	201734	2017-08-20	2017-08-26
2017	201735	2017-08-27	2017-09-02
2017	201736	2017-09-03	2017-09-09
2017	201737	2017-09-10	2017-09-16
2017	201738	2017-09-17	2017-09-23
2017	201739	2017-09-24	2017-09-30
2017	201740	2017-10-01	2017-10-07
2017	201741	2017-10-08	2017-10-14
2017	201742	2017-10-15	2017-10-21
2017	201743	2017-10-22	2017-10-28
2017	201744	2017-10-29	2017-11-04
2017	201745	2017-11-05	2017-11-11
